column_name,dtype
COLE_MCPIO_UBICACION_BARRANCO DE LOBA,bool
COLE_MCPIO_UBICACION_BARRANCO MINAS,bool
COLE_MCPIO_UBICACION_BARRANQUILLA,bool
COLE_MCPIO_UBICACION_BECERRIL,bool
COLE_MCPIO_UBICACION_BELALCÁZAR,bool
COLE_MCPIO_UBICACION_BELLO,bool
COLE_MCPIO_UBICACION_BELMIRA,bool
COLE_MCPIO_UBICACION_BELÉN,bool
COLE_MCPIO_UBICACION_BELÉN DE BAJIRÁ,bool
COLE_MCPIO_UBICACION_BELÉN DE LOS ANDAQUÍES,bool
COLE_MCPIO_UBICACION_BELÉN DE UMBRÍA,bool
COLE_MCPIO_UBICACION_BERBEO,bool
COLE_MCPIO_UBICACION_BETANIA,bool
COLE_MCPIO_UBICACION_BETULIA,bool
COLE_MCPIO_UBICACION_BETÉITIVA,bool
COLE_MCPIO_UBICACION_BITUIMA,bool
COLE_MCPIO_UBICACION_BOAVITA,bool
COLE_MCPIO_UBICACION_BOCHALEMA,bool
COLE_MCPIO_UBICACION_BOGOTÁ D.C.,bool
COLE_MCPIO_UBICACION_BOJACÁ,bool
COLE_MCPIO_UBICACION_BOJAYÁ,bool
COLE_MCPIO_UBICACION_BOLÍVAR,bool
COLE_MCPIO_UBICACION_BOSCONIA,bool
COLE_MCPIO_UBICACION_BOYACÁ,bool
COLE_MCPIO_UBICACION_BRICEÑO,bool
COLE_MCPIO_UBICACION_BUCARAMANGA,bool
COLE_MCPIO_UBICACION_BUCARASICA,bool
COLE_MCPIO_UBICACION_BUENAVENTURA,bool
COLE_MCPIO_UBICACION_BUENAVISTA,bool
COLE_MCPIO_UBICACION_BUENOS AIRES,bool
COLE_MCPIO_UBICACION_BUESACO,bool
COLE_MCPIO_UBICACION_BUGALAGRANDE,bool
COLE_MCPIO_UBICACION_BURITICÁ,bool
COLE_MCPIO_UBICACION_BUSBANZÁ,bool
COLE_MCPIO_UBICACION_CABRERA,bool
COLE_MCPIO_UBICACION_CABUYARO,bool
COLE_MCPIO_UBICACION_CACHIPAY,bool
COLE_MCPIO_UBICACION_CAICEDO,bool
COLE_MCPIO_UBICACION_CAICEDONIA,bool
COLE_MCPIO_UBICACION_CAIMITO,bool
COLE_MCPIO_UBICACION_CAJAMARCA,bool
COLE_MCPIO_UBICACION_CAJIBÍO,bool
COLE_MCPIO_UBICACION_CAJICÁ,bool
COLE_MCPIO_UBICACION_CALAMAR,bool
COLE_MCPIO_UBICACION_CALARCÁ,bool
COLE_MCPIO_UBICACION_CALDAS,bool
COLE_MCPIO_UBICACION_CALDONO,bool
COLE_MCPIO_UBICACION_CALI,bool
COLE_MCPIO_UBICACION_CALIFORNIA,bool
COLE_MCPIO_UBICACION_CALIMA,bool
COLE_MCPIO_UBICACION_CALOTO,bool
COLE_MCPIO_UBICACION_CAMPAMENTO,bool
COLE_MCPIO_UBICACION_CAMPO DE LA CRUZ,bool
COLE_MCPIO_UBICACION_CAMPOALEGRE,bool
COLE_MCPIO_UBICACION_CAMPOHERMOSO,bool
COLE_MCPIO_UBICACION_CANALETE,bool
